"Plot Title: field"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252215, SEN S/N: 2226787)","Water Content, m³/m³ (LGR S/N: 2252215, SEN S/N: 2241185)","Temp, °C (LGR S/N: 2252215, SEN S/N: 10785045)","RH, % (LGR S/N: 2252215, SEN S/N: 10785045)"
259,09/03/17 09:00:00  AM,15.223,0.1419,14.697,99.200
260,09/03/17 10:00:00  AM,15.294,0.1412,16.701,98.400
261,09/03/17 11:00:00  AM,15.533,0.1368,18.152,92.700
262,09/03/17 12:00:00  PM,15.939,0.1310,19.865,83.500
263,09/03/17 01:00:00  PM,16.415,0.1296,19.270,79.100
264,09/03/17 02:00:00  PM,16.725,0.1594,18.937,90.400
265,09/03/17 03:00:00  PM,16.915,0.1528,19.555,84.500
266,09/03/17 04:00:00  PM,17.130,0.1485,19.936,77.900
267,09/03/17 05:00:00  PM,17.296,0.1456,20.436,65.200
268,09/03/17 06:00:00  PM,17.486,0.1441,19.960,58.300
269,09/03/17 07:00:00  PM,17.486,0.1434,18.485,69.100
270,09/03/17 08:00:00  PM,17.296,0.1426,15.390,80.700
271,09/03/17 09:00:00  PM,16.939,0.1412,15.079,89.400
272,09/03/17 10:00:00  PM,16.534,0.1419,13.858,91.900
273,09/03/17 11:00:00  PM,16.129,0.1412,14.098,94.800
274,09/04/17 12:00:00  AM,15.796,0.1412,13.978,95.500
275,09/04/17 01:00:00  AM,15.533,0.1405,13.762,96.300
276,09/04/17 02:00:00  AM,15.318,0.1405,14.673,96.200
277,09/04/17 03:00:00  AM,15.127,0.1397,13.642,94.300
278,09/04/17 04:00:00  AM,14.960,0.1390,14.409,94.400
279,09/04/17 05:00:00  AM,14.816,0.1390,13.522,93.500
280,09/04/17 06:00:00  AM,14.697,0.1397,13.449,96.200
281,09/04/17 07:00:00  AM,14.529,0.1405,13.522,97.700
282,09/04/17 08:00:00  AM,14.409,0.1405,15.270,98.300
283,09/04/17 09:00:00  AM,14.457,0.1376,18.390,90.100
284,09/04/17 10:00:00  AM,14.792,0.1368,22.753,79.100
285,09/04/17 11:00:00  AM,15.390,0.1354,24.871,69.800
286,09/04/17 12:00:00  PM,16.129,0.1339,26.085,64.000
287,09/04/17 01:00:00  PM,16.892,0.1325,26.304,59.000
288,09/04/17 02:00:00  PM,17.605,0.1303,27.161,53.200
289,09/04/17 03:00:00  PM,18.129,0.1288,27.235,54.100
290,09/04/17 04:00:00  PM,18.485,0.1274,27.063,52.000
291,09/04/17 05:00:00  PM,18.842,0.1252,25.598,49.900
292,09/04/17 06:00:00  PM,18.985,0.1230,25.404,51.100
293,09/04/17 07:00:00  PM,18.913,0.1230,22.058,66.100
294,09/04/17 08:00:00  PM,18.723,0.1274,20.055,78.600
295,09/04/17 09:00:00  PM,18.533,0.1928,19.008,92.800
296,09/04/17 10:00:00  PM,18.366,0.1993,18.604,96.600
297,09/04/17 11:00:00  PM,18.200,0.1957,17.653,95.100
298,09/05/17 12:00:00  AM,18.010,0.1906,15.318,91.000
299,09/05/17 01:00:00  AM,17.677,0.1877,14.433,94.500
300,09/05/17 02:00:00  AM,17.320,0.1848,13.978,96.300
301,09/05/17 03:00:00  AM,16.987,0.1826,13.137,97.300
302,09/05/17 04:00:00  AM,16.630,0.1811,12.703,98.200
303,09/05/17 05:00:00  AM,16.296,0.1804,12.437,98.700
304,09/05/17 06:00:00  AM,15.963,0.1797,12.268,99.100
305,09/05/17 07:00:00  AM,15.629,0.1790,11.929,99.400
306,09/05/17 08:00:00  AM,15.366,0.1782,12.847,99.600
307,09/05/17 09:00:00  AM,15.223,0.1768,15.175,99.600
308,09/05/17 10:00:00  AM,15.342,0.1710,17.867,92.900
309,09/05/17 11:00:00  AM,15.700,0.1681,20.913,79.200
310,09/05/17 12:00:00  PM,16.177,0.1659,21.963,68.700
311,09/05/17 01:00:00  PM,16.701,0.1637,22.321,66.800
312,09/05/17 02:00:00  PM,17.225,0.1615,21.461,67.000
313,09/05/17 03:00:00  PM,17.510,0.1594,21.199,73.900
314,09/05/17 04:00:00  PM,17.677,0.1586,22.681,71.300
315,09/05/17 05:00:00  PM,17.891,0.1557,22.202,58.200
316,09/05/17 06:00:00  PM,18.057,0.1528,19.841,61.700
317,09/05/17 07:00:00  PM,18.010,0.1514,18.081,65.000
318,09/05/17 08:00:00  PM,17.724,0.1499,14.721,71.500
319,09/05/17 09:00:00  PM,17.272,0.1485,13.858,81.700
320,09/05/17 10:00:00  PM,16.773,0.1477,12.582,86.300
321,09/05/17 11:00:00  PM,16.296,0.1470,12.122,88.700
322,09/06/17 12:00:00  AM,15.867,0.1470,11.686,92.300
323,09/06/17 01:00:00  AM,15.509,0.1470,11.613,94.400
324,09/06/17 02:00:00  AM,15.223,0.1463,11.807,94.500
325,09/06/17 03:00:00  AM,15.031,0.1456,11.589,94.800
326,09/06/17 04:00:00  AM,14.840,0.1456,11.273,95.300
327,09/06/17 05:00:00  AM,14.673,0.1456,10.394,95.900
328,09/06/17 06:00:00  AM,14.457,0.1456,9.854,97.400
329,09/06/17 07:00:00  AM,14.194,0.1456,9.558,98.300
330,09/06/17 08:00:00  AM,13.978,0.1456,10.663,98.600
331,09/06/17 09:00:00  AM,13.906,0.1448,13.449,96.000
332,09/06/17 10:00:00  AM,14.026,0.1426,18.604,80.100
333,09/06/17 11:00:00  AM,14.409,0.1412,21.151,62.200
334,09/06/17 12:00:00  PM,14.960,0.1397,21.461,53.900
335,09/06/17 01:00:00  PM,15.533,0.1383,22.681,51.300
336,09/06/17 02:00:00  PM,16.058,0.1347,19.365,54.600
337,09/06/17 03:00:00  PM,16.415,0.1339,21.008,56.100
338,09/06/17 04:00:00  PM,16.654,0.1332,21.843,56.100
339,09/06/17 05:00:00  PM,16.892,0.1318,21.795,51.500
340,09/06/17 06:00:00  PM,17.106,0.1296,18.699,61.800
341,09/06/17 07:00:00  PM,17.130,0.1288,17.130,67.000
342,09/06/17 08:00:00  PM,16.963,0.1288,15.700,69.900
343,09/06/17 09:00:00  PM,16.701,0.1274,15.318,71.600
344,09/06/17 10:00:00  PM,16.439,0.1267,14.721,76.100
345,09/06/17 11:00:00  PM,16.106,0.1267,13.473,83.900
346,09/07/17 12:00:00  AM,15.772,0.1267,12.703,88.300
347,09/07/17 01:00:00  AM,15.438,0.1267,12.389,91.100
348,09/07/17 02:00:00  AM,15.175,0.1267,11.977,91.000
349,09/07/17 03:00:00  AM,14.984,0.1274,10.394,93.600
350,09/07/17 04:00:00  AM,14.697,0.1274,9.879,96.000
351,09/07/17 05:00:00  AM,14.361,0.1281,9.485,97.300
352,09/07/17 06:00:00  AM,14.026,0.1281,9.509,97.800
353,09/07/17 07:00:00  AM,13.762,0.1288,9.040,98.300
354,09/07/17 08:00:00  AM,13.570,0.1288,10.149,98.600
355,09/07/17 09:00:00  AM,13.473,0.1267,16.558,92.800
356,09/07/17 10:00:00  AM,13.714,0.1252,18.343,74.300
357,09/07/17 11:00:00  AM,14.218,0.1238,19.199,65.600
358,09/07/17 12:00:00  PM,14.745,0.1303,17.867,72.900
359,09/07/17 01:00:00  PM,15.151,0.1448,14.936,84.300
360,09/07/17 02:00:00  PM,15.390,0.1368,17.915,72.000
361,09/07/17 03:00:00  PM,15.700,0.1361,20.007,67.800
362,09/07/17 04:00:00  PM,15.963,0.1332,17.344,61.300
363,09/07/17 05:00:00  PM,16.225,0.1310,17.701,64.000
364,09/07/17 06:00:00  PM,16.344,0.1303,15.055,69.900
365,09/07/17 07:00:00  PM,16.272,0.1296,14.457,74.000
366,09/07/17 08:00:00  PM,16.010,0.1296,12.727,79.700
367,09/07/17 09:00:00  PM,15.652,0.1296,11.929,87.000
368,09/07/17 10:00:00  PM,15.247,0.1288,11.053,90.100
369,09/07/17 11:00:00  PM,14.864,0.1288,10.858,92.700
370,09/08/17 12:00:00  AM,14.505,0.1288,10.296,94.300
371,09/08/17 01:00:00  AM,14.194,0.1296,10.222,96.200
372,09/08/17 02:00:00  AM,13.954,0.1296,11.053,96.900
373,09/08/17 03:00:00  AM,13.834,0.1288,11.807,94.100
374,09/08/17 04:00:00  AM,13.786,0.1281,11.273,92.700
375,09/08/17 05:00:00  AM,13.714,0.1281,11.005,92.100
376,09/08/17 06:00:00  AM,13.618,0.1281,10.687,92.600
377,09/08/17 07:00:00  AM,13.546,0.1281,9.952,94.200
378,09/08/17 08:00:00  AM,13.425,0.1281,12.050,95.500
379,09/08/17 09:00:00  AM,13.425,0.1274,13.112,88.700
380,09/08/17 10:00:00  AM,13.570,0.1274,15.151,82.700
381,09/08/17 11:00:00  AM,13.810,0.1259,16.368,75.200
382,09/08/17 12:00:00  PM,14.218,0.1267,14.553,70.500
383,09/08/17 01:00:00  PM,14.673,0.1230,16.915,68.800
384,09/08/17 02:00:00  PM,15.055,0.1296,14.649,77.100
385,09/08/17 03:00:00  PM,15.294,0.1230,17.867,74.100
386,09/08/17 04:00:00  PM,15.438,0.1216,17.272,63.000
387,09/08/17 05:00:00  PM,15.581,0.1209,17.415,62.000
388,09/08/17 06:00:00  PM,15.629,0.1187,15.915,59.100
389,09/08/17 07:00:00  PM,15.485,0.1187,14.026,63.700
390,09/08/17 08:00:00  PM,15.223,0.1180,12.606,66.500
391,09/08/17 09:00:00  PM,14.888,0.1172,12.219,73.000
