"Plot Title: pond"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: air_temp)","Voltage, V (LGR S/N: 2252217, SEN S/N: 2241280)","Current, mA (LGR S/N: 2252217, SEN S/N: 2241280)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: temp_c)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)","Batt, V (LGR S/N: 2252217)"
157,07/03/15 00:00:00,15.557,-0.2039,0.0000,0.2850,11.224,77.500,4.128
158,07/03/15 01:00:00,15.055,-0.2039,0.0000,0.2850,10.858,82.600,4.128
159,07/03/15 02:00:00,14.625,-0.2039,0.0000,0.2850,10.541,84.200,4.128
160,07/03/15 03:00:00,14.242,-0.2039,0.0000,0.2850,10.173,84.800,4.128
161,07/03/15 04:00:00,13.882,-0.2039,0.0000,0.2850,9.583,84.300,4.128
162,07/03/15 05:00:00,13.546,-0.2039,0.0000,0.2850,8.841,86.100,4.128
163,07/03/15 06:00:00,13.329,-0.2039,0.0000,0.2850,12.195,88.600,4.128
164,07/03/15 07:00:00,13.594,-0.2039,0.0000,0.2850,16.225,78.100,4.122
165,07/03/15 08:00:00,14.146,-0.2039,0.0000,0.2850,19.865,63.300,4.116
166,07/03/15 09:00:00,14.912,-0.2039,0.0000,0.2850,22.034,55.600,4.116
167,07/03/15 10:00:00,15.819,-0.2039,0.0000,0.2850,23.040,48.900,4.116
168,07/03/15 11:00:00,16.963,-0.2039,0.0000,0.2843,23.280,46.900,4.116
169,07/03/15 12:00:00,18.461,-0.2039,0.0000,0.2843,22.011,46.800,4.116
170,07/03/15 13:00:00,19.365,-0.2039,0.0000,0.2843,22.393,48.600,4.122
171,07/03/15 14:00:00,20.293,-0.2039,0.0000,0.2843,23.160,45.300,4.116
172,07/03/15 15:00:00,21.939,-0.2039,0.0000,0.2843,23.617,43.000,4.122
173,07/03/15 16:00:00,21.175,-0.2039,0.0000,0.2836,21.413,42.400,4.122
174,07/03/15 17:00:00,20.126,-0.2039,0.0000,0.2836,20.222,46.300,4.122
175,07/03/15 18:00:00,19.222,-0.2039,0.0000,0.2836,19.770,48.200,4.122
176,07/03/15 19:00:00,18.509,-0.2039,0.0000,0.2836,18.081,52.400,4.122
177,07/03/15 20:00:00,17.915,-0.2039,0.0000,0.2836,16.153,61.300,4.122
178,07/03/15 21:00:00,17.272,-0.2039,0.0000,0.2843,14.888,70.800,4.128
179,07/03/15 22:00:00,16.701,-0.2039,0.0000,0.2843,13.618,76.900,4.128
180,07/03/15 23:00:00,16.153,-0.2039,0.0000,0.2843,13.546,82.800,4.122
181,07/04/15 00:00:00,15.819,-0.2039,0.0000,0.2843,13.281,85.500,4.122
182,07/04/15 01:00:00,15.485,-0.2039,0.0000,0.2843,12.050,88.800,4.122
183,07/04/15 02:00:00,15.079,-0.2039,0.0000,0.2843,11.759,91.500,4.122
184,07/04/15 03:00:00,14.721,-0.2039,0.0000,0.2843,11.321,91.500,4.122
185,07/04/15 04:00:00,14.409,-0.2039,0.0000,0.2843,10.541,91.700,4.122
186,07/04/15 05:00:00,14.098,-0.2039,0.0000,0.2843,10.932,92.600,4.122
187,07/04/15 06:00:00,13.930,-0.2039,0.0000,0.2843,13.209,91.100,4.122
188,07/04/15 07:00:00,14.170,-0.2039,0.0000,0.2843,18.105,79.100,4.122
189,07/04/15 08:00:00,14.792,-0.2039,0.0000,0.2843,21.294,65.700,4.116
190,07/04/15 09:00:00,15.652,-0.2039,0.0000,0.2843,23.545,56.200,4.116
191,07/04/15 10:00:00,16.606,-0.2039,0.0000,0.2843,24.919,49.500,4.110
192,07/04/15 11:00:00,17.748,-0.2039,0.0000,0.2836,25.137,46.800,4.116
193,07/04/15 12:00:00,19.080,-0.2039,0.0000,0.2836,24.798,48.500,4.116
194,07/04/15 13:00:00,20.150,-0.2039,0.0000,0.2836,24.291,49.900,4.116
195,07/04/15 14:00:00,21.318,-0.2039,0.0000,0.2828,25.623,48.100,4.116
196,07/04/15 15:00:00,22.992,-0.2039,0.0000,0.2828,26.671,45.800,4.110
197,07/04/15 16:00:00,22.800,-0.2039,0.0000,0.2828,24.581,47.700,4.116
198,07/04/15 17:00:00,21.581,-0.2039,0.0000,0.2828,23.304,52.400,4.122
199,07/04/15 18:00:00,20.722,-0.2039,0.0000,0.2828,22.920,57.300,4.122
200,07/04/15 19:00:00,20.103,-0.2039,0.0000,0.2828,22.298,59.800,4.122
201,07/04/15 20:00:00,19.532,-0.2039,0.0000,0.2836,19.817,67.700,4.122
202,07/04/15 21:00:00,18.937,-0.2039,0.0000,0.2836,18.771,74.000,4.122
203,07/04/15 22:00:00,18.390,-0.2039,0.0000,0.2836,18.747,77.300,4.122
204,07/04/15 23:00:00,17.938,-0.2039,0.0000,0.2836,17.391,80.200,4.122
205,07/05/15 00:00:00,17.486,-0.2039,0.0000,0.2836,16.320,85.400,4.122
206,07/05/15 01:00:00,17.058,-0.2039,0.0000,0.2836,15.939,88.500,4.122
207,07/05/15 02:00:00,16.701,-0.2039,0.0000,0.2836,15.031,89.300,4.122
208,07/05/15 03:00:00,16.320,-0.2039,0.0000,0.2836,14.505,90.500,4.122
209,07/05/15 04:00:00,16.034,-0.2039,0.0000,0.2836,14.601,92.000,4.122
210,07/05/15 05:00:00,15.843,-0.2039,0.0000,0.2836,14.960,92.400,4.122
211,07/05/15 06:00:00,15.867,-0.2039,0.0000,0.2836,16.106,92.000,4.122
212,07/05/15 07:00:00,16.129,-0.2039,0.0000,0.2836,20.388,88.300,4.116
213,07/05/15 08:00:00,16.749,-0.2039,0.0000,0.2836,22.776,75.300,4.110
214,07/05/15 09:00:00,17.463,-0.2039,0.0000,0.2836,25.453,67.600,4.110
215,07/05/15 10:00:00,18.319,-0.2039,0.0000,0.2836,25.939,63.100,4.110
216,07/05/15 11:00:00,19.389,-0.2039,0.0000,0.2836,26.867,62.100,4.110
217,07/05/15 12:00:00,20.936,-0.2039,0.0000,0.2828,27.063,59.700,4.110
218,07/05/15 13:00:00,21.819,-0.2039,0.0000,0.2836,26.769,61.400,4.152
219,07/05/15 14:00:00,22.250,-0.2039,0.0000,0.2828,27.259,64.600,4.110
220,07/05/15 15:00:00,23.064,-0.2039,0.0000,0.2828,26.744,64.700,4.110
221,07/05/15 16:00:00,23.160,-0.2039,0.0000,0.2836,25.987,61.900,4.110
222,07/05/15 17:00:00,22.633,-0.2039,0.0000,0.2836,27.038,62.400,4.110
223,07/05/15 18:00:00,22.321,-0.2039,0.0000,0.2828,26.280,60.600,4.116
224,07/05/15 19:00:00,21.795,-0.2039,0.0000,0.2836,24.823,62.000,4.116
225,07/05/15 20:00:00,21.199,-0.2039,0.0000,0.2836,22.920,67.600,4.116
226,07/05/15 21:00:00,20.531,-0.2039,0.0000,0.2836,21.819,72.000,4.116
227,07/05/15 22:00:00,19.912,-0.2039,0.0000,0.2836,20.007,74.800,4.152
228,07/05/15 23:00:00,19.365,-0.2039,0.0000,0.2836,19.508,79.800,4.116
