"Plot Title: pond"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2252217, SEN S/N: 2226785, LBL: soiltemp)","Water Content, m³/m³ (LGR S/N: 2252217, SEN S/N: 9866284, LBL: wc_soil)","Temp, °C (LGR S/N: 2252217, SEN S/N: 10197815, LBL: airtemp)","RH, % (LGR S/N: 2252217, SEN S/N: 10197815, LBL: rh)"
192,08/31/17 02:00:00  PM,17.605,0.3358,18.675,57.000
193,08/31/17 03:00:00  PM,18.224,0.3358,17.962,57.100
194,08/31/17 04:00:00  PM,18.010,0.3358,18.985,55.400
195,08/31/17 05:00:00  PM,17.772,0.3358,18.033,53.400
196,08/31/17 06:00:00  PM,17.296,0.3351,16.272,56.500
197,08/31/17 07:00:00  PM,16.749,0.3351,15.008,57.100
198,08/31/17 08:00:00  PM,16.177,0.3351,14.002,57.000
199,08/31/17 09:00:00  PM,15.676,0.3344,13.305,61.100
200,08/31/17 10:00:00  PM,15.247,0.3344,12.509,62.300
201,08/31/17 11:00:00  PM,14.864,0.3344,11.662,65.000
202,09/01/17 12:00:00  AM,14.505,0.3337,9.287,70.200
203,09/01/17 01:00:00  AM,14.122,0.3337,8.817,79.600
204,09/01/17 02:00:00  AM,13.714,0.3337,8.095,83.500
205,09/01/17 03:00:00  AM,13.353,0.3329,7.920,86.200
206,09/01/17 04:00:00  AM,13.040,0.3329,7.645,87.400
207,09/01/17 05:00:00  AM,12.751,0.3329,6.965,88.900
208,09/01/17 06:00:00  AM,12.461,0.3322,6.636,90.400
209,09/01/17 07:00:00  AM,12.195,0.3322,6.535,91.600
210,09/01/17 08:00:00  AM,11.977,0.3315,10.345,92.200
211,09/01/17 09:00:00  AM,12.001,0.3315,13.473,83.700
212,09/01/17 10:00:00  AM,12.219,0.3315,14.002,67.700
213,09/01/17 11:00:00  AM,12.509,0.3315,14.649,61.200
214,09/01/17 12:00:00  PM,12.920,0.3315,15.414,56.600
215,09/01/17 01:00:00  PM,13.594,0.3322,16.558,55.400
216,09/01/17 02:00:00  PM,15.008,0.3322,16.701,53.900
217,09/01/17 03:00:00  PM,15.629,0.3315,17.368,50.300
218,09/01/17 04:00:00  PM,15.748,0.3322,17.272,55.700
219,09/01/17 05:00:00  PM,15.963,0.3322,17.439,56.600
220,09/01/17 06:00:00  PM,15.986,0.3322,16.010,61.400
221,09/01/17 07:00:00  PM,15.819,0.3322,14.673,65.900
222,09/01/17 08:00:00  PM,15.557,0.3322,12.389,70.200
223,09/01/17 09:00:00  PM,15.103,0.3322,11.273,77.300
224,09/01/17 10:00:00  PM,14.625,0.3315,10.320,83.400
225,09/01/17 11:00:00  PM,14.218,0.3315,9.854,87.300
226,09/02/17 12:00:00  AM,13.858,0.3308,9.534,90.000
227,09/02/17 01:00:00  AM,13.546,0.3308,8.742,91.400
228,09/02/17 02:00:00  AM,13.233,0.3308,8.369,92.300
229,09/02/17 03:00:00  AM,12.920,0.3308,7.945,93.100
230,09/02/17 04:00:00  AM,12.630,0.3300,7.494,93.800
231,09/02/17 05:00:00  AM,12.364,0.3300,6.965,94.300
232,09/02/17 06:00:00  AM,12.098,0.3300,6.636,94.800
233,09/02/17 07:00:00  AM,11.856,0.3300,6.687,95.200
234,09/02/17 08:00:00  AM,11.662,0.3293,10.614,95.200
235,09/02/17 09:00:00  AM,11.662,0.3300,15.724,93.700
236,09/02/17 10:00:00  AM,11.977,0.3308,17.724,80.800
237,09/02/17 11:00:00  AM,12.534,0.3300,18.319,69.900
238,09/02/17 12:00:00  PM,13.233,0.3308,17.534,65.800
239,09/02/17 01:00:00  PM,14.098,0.3308,18.129,66.600
240,09/02/17 02:00:00  PM,15.700,0.3308,18.176,66.900
241,09/02/17 03:00:00  PM,16.725,0.3308,17.748,66.100
242,09/02/17 04:00:00  PM,16.320,0.3308,17.724,67.500
243,09/02/17 05:00:00  PM,16.153,0.3308,17.415,69.100
244,09/02/17 06:00:00  PM,16.058,0.3308,17.415,71.100
245,09/02/17 07:00:00  PM,16.034,0.3308,17.320,75.100
246,09/02/17 08:00:00  PM,15.963,0.3315,16.606,79.900
247,09/02/17 09:00:00  PM,15.915,0.3315,16.249,79.800
248,09/02/17 10:00:00  PM,15.819,0.3308,16.201,80.800
249,09/02/17 11:00:00  PM,15.748,0.3315,15.700,82.400
250,09/03/17 12:00:00  AM,15.676,0.3315,15.748,85.100
251,09/03/17 01:00:00  AM,15.629,0.3308,16.129,85.600
252,09/03/17 02:00:00  AM,15.605,0.3315,15.748,85.000
253,09/03/17 03:00:00  AM,15.581,0.3322,14.888,87.600
254,09/03/17 04:00:00  AM,15.533,0.3329,14.768,90.900
255,09/03/17 05:00:00  AM,15.485,0.3395,14.792,92.900
256,09/03/17 06:00:00  AM,15.438,0.3511,14.792,94.000
257,09/03/17 07:00:00  AM,15.390,0.3518,14.745,94.700
258,09/03/17 08:00:00  AM,15.366,0.3482,14.745,95.200
259,09/03/17 09:00:00  AM,15.390,0.3460,14.792,95.700
260,09/03/17 10:00:00  AM,15.485,0.3438,16.558,95.800
261,09/03/17 11:00:00  AM,15.867,0.3417,17.772,95.600
262,09/03/17 12:00:00  PM,16.487,0.3380,19.865,90.100
263,09/03/17 01:00:00  PM,17.225,0.3380,19.341,79.800
264,09/03/17 02:00:00  PM,17.605,0.3388,18.937,84.900
265,09/03/17 03:00:00  PM,17.867,0.3380,19.841,82.400
266,09/03/17 04:00:00  PM,18.152,0.3373,20.293,72.600
267,09/03/17 05:00:00  PM,18.271,0.3373,20.531,66.700
268,09/03/17 06:00:00  PM,18.271,0.3366,20.103,62.200
269,09/03/17 07:00:00  PM,17.962,0.3366,18.985,67.500
270,09/03/17 08:00:00  PM,17.653,0.3366,16.773,75.800
271,09/03/17 09:00:00  PM,17.249,0.3358,15.963,82.700
272,09/03/17 10:00:00  PM,16.844,0.3358,15.223,86.600
273,09/03/17 11:00:00  PM,16.487,0.3358,15.175,89.700
274,09/04/17 12:00:00  AM,16.201,0.3351,15.175,91.000
275,09/04/17 01:00:00  AM,15.963,0.3351,14.721,91.500
276,09/04/17 02:00:00  AM,15.748,0.3351,14.768,92.000
277,09/04/17 03:00:00  AM,15.557,0.3351,14.505,92.400
278,09/04/17 04:00:00  AM,15.390,0.3344,14.721,92.400
279,09/04/17 05:00:00  AM,15.247,0.3351,14.433,92.000
280,09/04/17 06:00:00  AM,15.103,0.3344,14.170,92.300
281,09/04/17 07:00:00  AM,14.960,0.3344,14.002,93.300
282,09/04/17 08:00:00  AM,14.840,0.3344,16.915,94.000
283,09/04/17 09:00:00  AM,14.936,0.3344,19.246,90.700
284,09/04/17 10:00:00  AM,15.294,0.3344,22.633,79.200
285,09/04/17 11:00:00  AM,15.867,0.3351,24.436,72.100
286,09/04/17 12:00:00  PM,16.606,0.3344,25.137,66.300
287,09/04/17 01:00:00  PM,17.510,0.3358,26.378,60.900
288,09/04/17 02:00:00  PM,19.294,0.3358,26.989,55.000
289,09/04/17 03:00:00  PM,20.246,0.3358,26.353,55.800
290,09/04/17 04:00:00  PM,20.222,0.3366,26.524,54.300
291,09/04/17 05:00:00  PM,20.103,0.3358,26.061,50.900
292,09/04/17 06:00:00  PM,19.984,0.3373,25.477,51.100
293,09/04/17 07:00:00  PM,19.770,0.3373,22.011,64.400
294,09/04/17 08:00:00  PM,19.555,0.3373,20.531,75.100
295,09/04/17 09:00:00  PM,19.365,0.3475,19.341,87.400
296,09/04/17 10:00:00  PM,19.151,0.3417,18.771,92.100
297,09/04/17 11:00:00  PM,18.913,0.3402,17.582,93.700
298,09/05/17 12:00:00  AM,18.580,0.3395,15.652,92.800
299,09/05/17 01:00:00  AM,18.057,0.3380,14.888,91.800
300,09/05/17 02:00:00  AM,17.558,0.3373,14.433,93.000
301,09/05/17 03:00:00  AM,17.153,0.3366,13.738,93.900
302,09/05/17 04:00:00  AM,16.749,0.3366,13.185,94.600
303,09/05/17 05:00:00  AM,16.368,0.3366,12.896,95.200
304,09/05/17 06:00:00  AM,16.010,0.3358,12.823,95.700
305,09/05/17 07:00:00  AM,15.700,0.3351,12.823,96.100
306,09/05/17 08:00:00  AM,15.461,0.3358,14.050,96.300
307,09/05/17 09:00:00  AM,15.366,0.3351,15.151,96.300
308,09/05/17 10:00:00  AM,15.533,0.3358,17.891,96.000
309,09/05/17 11:00:00  AM,15.819,0.3358,21.127,90.000
310,09/05/17 12:00:00  PM,16.272,0.3358,21.175,72.100
311,09/05/17 01:00:00  PM,17.011,0.3358,22.561,69.100
312,09/05/17 02:00:00  PM,18.794,0.3358,21.342,66.000
